"型号","评论内容"
"2023豪华","运行速度：嗯，屏幕效果：OK，散热性能：不懂，外形外观：还可以，轻薄程度：还可以"
"2023豪华","大品牌值得信赖真的好喜欢，客服态度也挺好的，值！以后有需要还会来买?非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！终于买到满意的商品了，超出期望，非常喜欢，身边的人都问我要链接产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验宝贝收到，物流很快，描述相符，比较满意，好评，推荐大家购买！！！非常好！"
"2023豪华",""电脑很漂亮 高端大气上档次 如卖家说的很薄 携带出门很方便 物流相当的快昨天下午付款第二天下午就到手了 很给力 给买家一个赞。网页打开速度快 键盘使用效果不错 触摸板反应灵敏 笔记本各类接口齐全"
"2023豪华","知东西到了，非常非常不错，非常非常喜欢，真的京东的物流特别快，爱了爱了。"
"2023豪华","电脑轻薄，颜值担当，键盘灵敏，客服态度很好，也很有耐心，音质很好，观影效果也可以，不过这款不适合PS跟视频编辑，推荐办公学习、追剧听歌的盆友，没有刮痕，散热目前没有问题，希望后续电脑没有问题"
"2023豪华","第一次京东买电脑，商家出货速度很快，运行速度挺快，无噪音，值得购买。"
"2023豪华","外形美观漂亮，屏幕也很大，运行速度快，服务业很好，我蛮喜欢"
"2023豪华","昨天收到的，屏幕什么的都很OK，，有背光键盘 ，激活了windows ，分了盘，画质也很OK ，偶尔 开一些大的软件 ，风扇会响 ，这也都很正常，因为大软件运作 的关系，"
"2023豪华","很不错，还没有开机，但是速度还可以  外观也不错"
"2023豪华","运行速度：运行速度：快，挺好用的 ，，屏幕效果：挺好的，闪亮，散热性能：挺好的，效果好，外形外观：好看，轻薄，轻薄程度：好，感觉其他方面的也是很好挺喜欢的，其他特色：好"
"2023豪华","运行速度：运行速度快，屏幕效果：显示屏挺好的，散热性能：散热生也挺安静，外形外观：全黑的外观看起来很舒服，轻薄程度：单手完全没问题，其他特色：就是第一次开机稍微有点慢"
"2023豪华","快递给，电脑用起来很安静，里面的软件商量好评"
"2023豪华","手感不错，外形外观也很好看。第一次买电脑就选了这一款，机身轻饱，色彩饱和，很符合个人的品味，能够语音识别，还有夜间模式，比较人性化！值得拥有，推荐购买！"
"2023豪华","选电脑真的用了很久，才决定选这款，昨天下的单，电脑今天早上就到了，我选的是银灰色全金属的外观，非常简介大气，手感也很好，用来办公学习真的很舒服，很满意！"
"2023豪华","颜值挺不错的，就是装Office有点心态崩，搞了好久都注册不了一个账号啊，但是最后还是搞好了，电脑嘛还好就是感觉不太牢固随便按一下就好响的声音好松的感觉"
"2023豪华","已收到宝贝好几天了，音质清晰震撼，画面柔和舒适，用着很舒服，超级喜欢，工作学习两不误。物流和快递都很给力，两层纸壳和泡沫包装很安全。"
"2023豪华","还可以，没预期想的那么好"
"2023豪华","比预想的要好，买它买它"
"2023豪华","一直想买，挑了好久。终于对联想笔记本下手了！第一次买，感觉非常好！高端大气上档次，。干净简单！兄弟们可以放心购买！老板有热情有耐心，物流也快！"
"2023豪华","是我喜欢的外观，质量非常的好，这款价钱在接受的范围里面 电脑外观，颜色很正，物流速度也非常快，客服态度很好，赞！。个人认为挺好的，搞活动买的性价比挺高的，用优惠券后很划算的，很值得买的！屏幕效果：清晰，艳丽。散热性能：良好外形外观：美观，大方。轻薄程度：方便携带，待电时间长。"
"2023豪华","新机收到了，很棒，很喜欢!"
"2023豪华","发货很快  昨天下单今天就到了  临时发通知提前复试  感谢联想感谢物流救命了电脑手感贼好  科技感十足  性能强劲！"
"2023豪华","运行速度：很流畅，屏幕效果：很柔和，护眼，散热性能：散热效果很好，外形外观：很大气，轻薄程度：刚好，很合适，女生用很合适，其他特色：性价比很高"
"2023豪华","买来办公用的 还没装系统 后面看视频看怎么装 目前看起来还挺好的反正 有点事出去 晚上回来再看视频装系统和办公软件吧 用一个月以后再来追评"
"2023豪华","第一次买电脑，挑了好久才选的这家，客服态度很友好，屏幕也十分的清晰，外形也是我喜欢的样子。价格也合理，我很喜欢。而且包装很贴心的用了两层?"
"2023豪华","运行速度：很快，屏幕效果：很清晰，散热性能：很棒，外形外观：还挺好看的，轻薄程度：适度，目前没有出现问题，用着还不错，很幸运买到了喜欢的电脑。"
"2023豪华","这个电脑还挺好，用着也很舒服，在联想店里选了好长的时间，最后才看中了这个，性能也很好，开机也非常的快，物流2天差不多就到了，非常喜欢"
"2023豪华","我看了很多台电脑，最终选择了这款，果然没让我失望，外观很漂亮，简洁大方，看着很有质感。而且运行速度也很快，画面也超级清晰！！！还能够语音识别，超级方便！电脑整体来说也比较轻薄，方便携带！屏占比也很优秀！客服态度也很好，是一次非常棒非常满意的购物！爱了爱了"
"2023豪华","宝贝收到了，物流超快，外形很美观，还有数字小键盘方便使用，产品质量很好，超薄款，颜色很喜欢，运行速度很快，是一款特别好的办公笔记本电脑"
"2023豪华","电脑很是满意呢外观也很漂亮，很轻薄，平时上课办公用这台电脑足够了。物流也很给力，包装也非常的好呢。客服服务态度也很OK的。满意满意"
"2023豪华","挑了好久，最终选择了这款，货到了，非常的不错，不论从外观还是运行速度，都非常的好，这样的价格能买到这样的机子很不错，推荐购买."
"2023豪华","同学帮忙参考的，超出预期，很满意。实物比图片好看，使用起来很流畅，风扇声音很小，没什么问题，总之很满意。"
"2024旗舰","用了一个月触摸板失灵了，一会能动一会就动不了，联系客服客服没有任何反馈，说***公众号，微信公众号中都是设定好的自动回复，太奇怪了，完全没人关了，联系不上人工客服处理问题。，在我买来没有磕磕碰碰，触摸板这是质量有问题"
"2024旗舰","小伙伴们注意吧，触摸板间歇性失灵，客服售后都解决不了，很失望真无语！！！"
"2024旗舰","零颗星，用了没几天，摄像头坏了！！"
"2024旗舰","刚用三天就死机了，找客服没有用，慎入"
"2024旗舰","垃圾，才买一个月开不了机了，我估计是翻新机吧，快吐了，第一次购买到这样的商品"
"2024旗舰","散热性能：发烫的太严重了，我是以前买了yoga3 12.5寸的，用的还可以，所以继续选择了这个yoga系系，但这款才开机半小时，就很烫了"
"2024旗舰","什么破电脑买回来一周不到触摸板就经常失灵，快捷键在电量低的时候竟然还不能用？？？这差评给定了大家别买这款的"
"2024旗舰","体验很差，刚拿到电脑，触控板非常不灵敏，滑动鼠标箭头划不动，拿去换货。新货拿到后使用不到一星期电脑表面有污渍，用拇指肚擦拭竟能把表面的漆擦掉，真是大开眼界了。"
"2024旗舰","3.15日到手，3月31日开不了机。电脑修到现在还没送到我手上。说是硬件坏了，里面的资料全部没了。论文重新写。反正很生气，过了15天，不可以退换货，只能等着。3.15日到手，3月31日开不了机电脑修到现在还没送到我手上。说是硬件坏了，里面的资料全部没了。论文重新写。反正很生气，过了15天，不可以退换货，只能等着。"
"2024旗舰","这是换新的第二台机器了，之前的第一台机器用了不到半个月出现了触摸板上半部分间歇性失灵的情况，现在第二台又出现了一模一样的情况，太失望了！"
