商品属性,评价内容
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,很好方便实用外观7漂亮简洁大方
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,颜值暴表！机身很轻薄！
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,还行，以前一直习惯台式，这是第一次用笔记本，感觉还行……
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,给老弟买的，用了一段时间了，反馈还不错，据说功能挺全的，就是没有鼠标，外观也很简洁，充电模式不知道怎么滴就升级了，目前用着挺好的，联想也是老牌子了
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,收到后很兴奋，机子不重，办公学习完全够用，就是简单使用，准备用它个十年，所以配置选的比较高些
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,好久没有买电脑了，看推荐买的这款。有些新功能还在摸索中。。。。不过不爽的事说的续航，12小时以上，现在看看，95%的电量续航是不到7小时，咋说呢。。。
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,物流快，感觉挺好，是我想要的！网速也快，运行效果好，外形美观！
爆品 小新Air 15.6英寸大屏金属全新11代 i5 MX450独显 高色域,用了两个星期开始黑屏，然后送到维修站去了，你们的品控行不行啊？
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好，颜值高，性能好，还很轻薄
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,作为一个小白，连激活office都搞了好久，还出了问题，在联想的工程师的帮助下完成好了，我很开心。，电脑很好用，电池容量大，在图书馆做文件可以待一天，（不打游戏所以这方面不知道）
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,开盖自动开机，开关键带指纹解锁，挺新鲜。买这个主要是为了上班的时候没事玩一会游戏，游戏本玩游戏散热声音整个办公大厅都能听到，别人以为我在大厅里用吹风机。轻薄本风扇声音隐匿的很好，玩游戏的时候只有自己可以听见风扇声音
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,办公的电脑，反应还可以，不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还是相信京东自营的品质，
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！质量很好，收到货第一时间打开看了，很不错，很满意
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,服务态店好，快递服务好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,小巧，方便携带，很好，很满意
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,小问题好多
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,挺好的 目前用着
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：速度很快可以很好用的机器满意巴适，屏幕效果：很好可以，外形外观：好看漂亮美丽，轻薄程度：真正的超薄本本
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,日常办公还是可以的，打游戏就算了吧，有的时候经常闪退。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,20号凌晨下单，然后白天2点多就收到货了，不得不说京东物流牛皮，，屏幕效果：看起来很舒服，高清，外形外观：商务办公，一流，运行速度：目前觉得没啥毛病，用段时间再追评
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,联想小新系列电脑还不错，我19年买了一台小新air13，小巧玲珑，今年给家里人买了一台小新15新款，轻薄本，携带方便，超级喜欢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑颜色很好看，性能也符合我的日常需求，打游戏也不卡，追剧看片特别好，做工也不赖，运行速度也很流畅，风扇声音小，外观简约大方，，屏幕大小正合适，续航能力也不赖，很完美。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,买了有两个月了，今天评价一下就是因为他的客服，客服姐姐真的好温柔，真的真的很温柔，解答了我的所有问题，非常感谢这位客服小姐姐
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,垃圾货，office用不了。客服解决不了问题，就逃避，叫我去找什么工程师，有毛病吧。就认倒霉吧
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,擦擦擦擦擦 好气哦 昨天买的 今天就降价 500块钱不是钱啊 好心疼???
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,买回来两天重启蓝屏 ，总得来说还不错，保价服务也快。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,物流超快，态度很好，办公首选，值得推荐
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,最新酷睿十一代超薄便携本，指纹秒进系统，几乎无延迟，性价比超高。运行速度很快，屏幕颜色细腻，超薄轻便，金色外壳，非常喜欢。物流速度很快，给物流小哥点赞。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,小毛病太多，一会没音，一会蓝牙断连，不懂电脑的小白得气死，整体还行。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,屏幕分辨率非常高，色彩看起来不错，很细腻，速度也嗖嗖的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,好，很好的宝贝，质量好，客服态度好，商家好，很喜欢，用了一段时间，很好，很适合小孩上网课
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑买回来试用了一下，性价比很高，质量不错，很好的电脑，在京东购物很好的体验
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,包装保护：京东的包装盒运输还是比较放心的，包装的很安全，保护得很好，画面品质：这块屏幕色域很广，玩游戏非常棒，也能满足设计师的设计要求，十分满意，运行速度：配置十分强悍?，运行速度飞起，响应十分迅速，十分给力，游戏效果：特效拉满，帧率开到最高都没问题，屏幕也给力
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,挺好的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款电脑任何地方都好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,给上学的表妹买的，学生用挺合适的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,一开始觉得太大了，实际用过之后真的很满意，办公室用绰绰有余，笔记本真是做的越来越好了
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还挺好的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好用，速度非常快，手感很好，屏幕效果：一级棒，外形外观：到位
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑很不错，用到现在没啥大问题。打打游戏应该还是可以的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,已经开始用了，速度不错，物流挺快
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：快快快快快，，屏幕效果：显示细腻，外形外观：超薄美观，，不容错过的笔记本电脑，你值得拥有
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款电脑关注很久了，有优惠，果断下单，第二天就麻烦了，很满意，好用！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,宝贝很不错，物流特别快，到的很及时，下次还在京东买，大大的好评！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：玩吃鸡666，屏幕效果：很流畅，散热性能：杠杠的，外形外观：很漂亮，轻薄程度：很轻薄
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：挺快的，散热性能：一般，轻薄程度：可以，外形外观：好看！！！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款外形很时尚，全区合金的外壳手感很不错，散热风扇噪音就是有点大，ips屏幕很清晰，但是感觉护目程序调解时延挺大！，电池挺耐用的，长期再看看如何！，小键盘聊胜于无吧，可能女生用比较合手！，总体来说这个价位的这款五千五还是挺值得推荐的！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,联想是我们国产品牌的老大，也是目前市面上所有品牌数一数二的，性能强劲
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,15寸小新确实很轻便，系统反应速度快，手感也很好。之前曾在14和15之间犹豫，但是14一直缺货，15的这个电池容量高一点，所以就选择了15。也是用了一个月才评论，这款机器确实不错，很适合商务和工作，特别是来回奔波，非常便捷。总体评价非常好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还可以，没什么问题，电脑用了挺快的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,联想小新做工精致，携带方便、开机速度、散热很好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,物流速度非常快，包装完好无损，电脑很好看，高大上的感觉，以后还会选择在这买
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,买台电脑给娃上网课，其实不太懂选的，别人给我推荐了小新~用了一段时间了，挺好用的，而且轻薄，有时候需要带出去也挺方便的。不过有个小插曲，就是刚收到的时候联网配置有点问题，后来问了客服才搞定。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,喜欢，外形美观，实用，功能强大，屏幕分辨率高
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,不错不错，大屏，散热：确实风扇声有些大，拥有了属于自己的笔记本电脑，感觉针不戳，镜头：有防偷窃功能，浏览器好用，联想电脑自主研发的软件，没广告，希望能够用久一点吧！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,整体还算轻薄，外观简约大气，各方面性能不错，电源键集成指纹识别，价格小贵。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,感觉还不错，用用再来评价
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好值得购买物流很快哦下单吧?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,使用了一段时间才来评价，质量很好，外观漂亮，521固态有点小，不知道能否扩机械硬盘。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,一如既往的好，很信奈的品牌
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外观漂亮，售后有保障
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,感觉很好用呢，官方也安心
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,用了几天没什么问题，全新的小新，不错！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还是可以的，屏幕大，运行速度快，机子整体也漂亮，很轻
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,"轻薄款,很漂亮!"
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,刚到货，做工挺好，颜值高。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,补补呢饿，补补呢饿不错！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,支持王一博，果子。本子已经拿到一段时间，就我而言很实用，携带也方便。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,宝贝挺好的，摸着质感不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,好好好，运行速度：挺不错呀，屏幕效果：没问题还行我觉得
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,用了这么久没毛病。感觉比华为好多了，不卡。很快
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,有几个小问题，一个是一个叫VMD的驱动一直装不上。还有一个是电脑漏电使用机身键盘一天电个七八次，可能公司接地有问题。还有一个是电池高性能找不到，好像被微软取消了，停止跟新似乎也被取消了，一直提醒我更新。，希望卖方给一些解决办法
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,屏幕分辨率不行，一般般啦
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款笔记本购买的时候看了很久才购买的，买完这款电脑京东物流配送员服务非常好很快就配送收到货了，没有什么一些毛病之类的问题
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,非常喜欢，轻薄，大气，值得拥有！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,笔记本电脑运行速度快，电脑外观好看，轻薄，方便携带
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,非常喜欢无论是性能还是价格，都很给力，性价比高。，颜值在线，屏幕键盘布局都很喜欢。，目前使用一切正常。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,已经用了一段时间才来评价，电脑开机很快使用正常，整体感觉很棒
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好用，挺快的，就是链接打印机费劲
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,给侄子买的，感觉还可以，比买个手机值，哈哈哈
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,联想小新Air15轻薄本 英特尔酷睿i5 15.6英寸全面屏学生笔记本电脑 (i5-1135G7 16G 512G MX450独 高色域)，联想一罐如此，高配置，高性能，一般的办公，游戏都流畅使用！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑开机很快，，运行速度：很好，外形外观：很漂亮，我很喜欢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：快，，散热性能：可以，不吵，，外形外观：好看，轻薄程度：轻薄
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑不咋好用，不值得推荐
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑风扇声音很大，且客服态度很差，不值得推荐
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,笔记本性能非常好，超赞！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：轻薄本这个配置不错了，不打大型游戏够用了，屏幕效果：高色域的屏幕就是好，看视频很舒服，散热性能：铝合金外壳，散热不是问题，外形外观：外观还不错，给我姐买的，她很喜欢，轻薄程度：很薄，屏幕感觉不够紧实，有点晃，我拯救者电脑就跟结实，可能是轻薄本的原因吧，其他特色：现在笔记本都涨价了，一年前这个配置能便宜好几百呢
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑用起来很不错，速度也好，桌面壁纸也很新潮
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑颜值很高，买给弟弟用的，他也非常喜欢。对比了很多款电脑，最终选择了这款，果然没让我失望。非常不错，喜欢的朋友不要犹豫了！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,目前用着没啥问题，能满足需求
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：到手没几天，现在感觉速度还是很快的，屏幕效果：雾面屏，虽然不是2K的但显示还是很满意的，散热性能：双管单风扇，fn+Q。不玩游戏只是学习和日常使用，没感觉电脑发热，不过夏天要来了，最好搭配个支架让笔记本底部好散热，外形外观：磨砂铝合金原色，简单大气，15.6的窄边框小中见大，全键盘，财会之类的很合适。，轻薄程度：原来使用的是游戏本，这款更轻薄，其他特色：MX450是25W的中杯，应该考虑到散热及设计的原因。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好的一款笔记本电脑
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,办公使用，希望能用久一点
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,整体不错打游戏也带的动，目前没发现哪里不好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这台电脑的性价比很高，用一段时间了，不错的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：很好，很快，屏幕效果：很好，清晰，散热性能：很好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好用，颜值高，速度快
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑很好用，符合自己的预期。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,值得购买，性能很好。喜欢的可以买，运行非常好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,一直都是用联想笔记本，2018年买了一台，现在工作需要又添一台，还是选择小新系列！比以前老款轻薄了，办公学习都不错，你值得拥有！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,机器质量很好，下次还会来购买的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,性价比高
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,完美，值得够买，强力推荐
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,买来公司用，颜色喜欢，尺寸正是想要的，联想品牌，不错????
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,特别好用的电脑。很好。很出色。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这款电脑非常好用，不错
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,轻、薄，开机速度快。很不错。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：好，屏幕效果：漏光，散热性能：可以，外形外观：好，轻薄程度：好，其他特色：有点重
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑很不错，屏幕很大办公用起来很舒适，运行速度也很好，比较轻薄
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,给孩子买的，用的还可以。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,屏幕很大，挺喜欢的。不是很厚重，电池的续航能力很好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,宝贝心仪很久了，趁活动时候买真的太划算了，喜欢的不要犹豫啊性价比非常高?，可以放心购买?，做工非常精致?，值得购买?！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,键盘手感不错，速度很快，物美价廉
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,发货很快，包装一般。电脑不错。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外形外观：好，屏幕效果：好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这电脑可以，我很满意。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,这个电脑到货很快的。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,包装很好，颜值不错，质量也没有问题外观设计漂亮，尺寸大小合适，包装仔细完整，宝贝手感不错，感觉很好，发货速度快，服务态度一流，给力！5星好评！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还可以配置。不错不错。挺好挺好。慢慢用
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑很不错，很流畅，值得入手
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,个人觉得联想小新系列算是同价位里比较好的了，尤其是这个外观，颜值还挺高的，用作家庭轻薄本确实还挺好。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,"关注了一段时间,首发有优惠下单,隔天就发货送到。电脑质量不错,外壳比较硬度适中,整机重量较轻。电脑运行起来非常满意,日常办公使用,基本全是office文档,性能足够了。两个满血雷电4接口好评,但日常使用必须得接扩展口, hdmi和另外多个usb口是必须。整体非常满意!"
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还行吧
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑颜值高 配置足够 女朋友特别满意
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：很快，很顺畅，运行CAD和SW没问题，，屏幕效果：清晰度很高，看起来很舒服，不累眼，散热性能：跑大装配体会转动，风扇声音有点大，但可以接受，外形外观：颜值担当，应该给外观设计师加鸡腿，轻薄程度：轻薄程度：对**学来说，重量和 厚度刚刚好，不会给人玩具的感觉，其他特色：客服也很棒，发货挺快，活动买的，性价比很高，
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑质量不错，外壳比较硬度适中，整机重量较轻。电脑运行起来非常满意，日常使用，性能足够老太太了。两个满血雷电4接口好评，但日常使用必须得接扩展口。整体非常满意！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,更换后的电脑，没有之前的问题
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还可以，运行速度：挺快的，屏幕效果：清晰，外形外观：好看，轻薄程度：薄，偏重一些
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,使用体验很棒，京东产品值得信赖
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,机子不错，正版软件用起来得心应手！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,给孩子买的，用了快2个月了，非常好用速度很快，特别是颜值很高，看起来很上档次。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,现在正在使用，感觉挺好的，散热声音不大，过年期间买的也挺便宜
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,很好！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,运行速度：运行速度快，屏幕效果：屏幕清晰！显示牛，散热性能：散热性能好，外形外观：外观设计非常好看
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,我不太懂电脑，随便选的一款，外观不错，我喜欢，开机速度还行，毕竟是新机器，运行速度很好，不知道用一段时间是不是还会这样。很静音。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,蓝屏了好几次，不知道什么情况。不知道是不是正版联想机器，忘记拍照上传啦。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,经常蓝屏，不知道怎么回事，两个多月**次蓝屏
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,用了两个月，没有什么问题
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑质量可以 用着打游戏很酷 以后还会继续信任京东
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,使用暂时没啥问题
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,可以啊，真的不错！15. 6得刚刚好，用了一天了，还不错，很喜欢，需要的朋友可以入手了，不到6000很划算！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,挺好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,挺不错的    速度很快   很精致轻巧  屏幕很清晰
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,售后挺满意的，有问题马上解决了
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,选了好久才选的这款，更新换代太快了
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,还好，算是比较不错的了，电池待机时间比较好
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑更新的时候爱蓝屏，但问题不大，运行也挺好的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,想了好久才买的，性价比配置都很好，心爱的一款，已经贴完膜了，少女心十足了，喜欢喜欢！观察了好久在最~的时候入手，买值了！
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,一直用的联想笔记本，还可以 基本上没修过，下次有需要还买
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,给孩子买滴电脑，这款电脑正版，真滴太好了。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,目前用着还好，冲着小键盘买的
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,电脑手感不错，玩了几把LOL，极高画质团战可以110。非常nice。
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,款式很大方，质量非常好，价钱也很合理产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们特别特别满意，超级好看，客服很有礼貌，很客气，良心商家，支持！趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,帮他人购买的，不知道如何
2021新款Air 15.6英寸大屏全键盘全新11代i5 16G MX450 高色域,外观好看，性能也好，值得推荐
